,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
24,0.492097685,0.331583691,1,0.308365761,0.280110767,0.382810395,0.258708154,0.220708357,0.261006495,0.451279838,1,0.21521352,1,0.553354427,0.541325635,1,0.404820322,0.556722634,0.419972808,0.37782679,0.430312164,0.402341682,0.456430387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.416185187,0.299213397,1,0.272640697,0.249845539,0.39132036,0.232069153,0.271429852,0.257073493,0.383431836,1,0.199962515,1,0.562277733,0.459499213,1,0.501931846,0.500458593,0.55285184,0.543140768,0.553030893,0.394112792,0.386410563,0.227453872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.322356286,0.316000879,1,0.400460464,0.428769927,0.430893873,0.305836996,0.410504498,0.402522611,0.37786651,1,0.494486391,1,0.629887754,0.587993792,1,0.576776637,0.386888761,0.664946215,0.675832666,0.64829973,0.365329746,0.370242659,0.454625698,0.368431511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.438027117,0.445200517,1,0.523894861,0.471335064,0.528450925,0.377513367,0.55467456,0.477748306,0.385433969,1,0.553024179,1,0.611938251,0.498322326,1,0.592906538,0.477204979,0.612050045,0.645146066,0.672528998,0.510578852,0.559825089,0.546709807,0.440448898,0.487607629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.187742771,0.429659319,1,0.422036817,0.463879935,0.525141578,0.399920319,0.516742188,0.520222692,0.440954441,1,0.554965143,1,0.61208524,0.595996259,1,0.644933545,0.443100038,0.693064902,0.682897393,0.694480018,0.535659501,0.485629392,0.562638385,0.466896159,0.405834478,0.45076017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.23195454,0.352497474,1,0.38493435,0.407274217,0.463883255,0.282843395,0.459082837,0.400142663,0.312530865,1,0.483912889,1,0.583631702,0.522604255,1,0.582864588,0.391483306,0.603738605,0.67211118,0.653769266,0.412030971,0.437735798,0.481926349,0.364343633,0.310706149,0.289683636,0.248636501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.445046892,0.504916973,1,0.459033807,0.533873332,0.575308097,0.449613151,0.572681361,0.567821065,0.439631638,1,0.612207272,1,0.641320466,0.546121009,1,0.607932951,0.495870736,0.652347088,0.6724709,0.703741216,0.543739993,0.59846126,0.60762983,0.524698998,0.492733416,0.452757812,0.388671662,0.441078384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.414893175,0.270455386,1,0.246945656,0.232957303,0.379404099,0.169912892,0.239360052,0.238693496,0.382691364,1,0.29788411,1,0.488233983,0.521358401,1,0.449942594,0.479341229,0.442718432,0.370076042,0.39729583,0.391089894,0.433776409,0.179993544,0.234556088,0.398248939,0.482034242,0.477124945,0.390104318,0.547708168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.499846073,0.422107459,1,0.538190915,0.559578823,0.434904008,0.426982963,0.570898805,0.564185013,0.483264804,1,0.558318652,1,0.696587421,0.601084297,1,0.659151833,0.443584573,0.686253569,0.712660559,0.707526205,0.544491884,0.546776629,0.583394216,0.481007808,0.44037046,0.49510733,0.542913615,0.481697145,0.545855518,1,0.541975933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
